,Rank,player,POSrank,Tier
208,208,"""Nico Collins"" ",WR76,
209,209,"""Kadarius Toney"" ",WR77,WR......
210,210,"""Jared Goff"" ",QB30,
211,211,"""Austin Hooper"" ",TE23,
212,212,"""Benny Snell Jr."" ",RB65,
213,213,"""Darrynton Evans"" ",RB66,
214,214,"""Wil Lutz"" ",K9,
215,215,"""Cole Kmet"" ",TE24,
216,216,"""Matt Prater"" ",K10,
217,217,"""Allen Lazard"" ",WR78,
218,218,"""Cleveland Browns"" ",DST11,
219,219,"""Joshua Kelley"" ",RB67,
220,220,"""Miami Dolphins"" ",DST12,
221,221,"""DeSean Jackson"" ",WR79,
222,222,"""Breshad Perriman"" ",WR80,
223,223,"""Jordan Akins"" ",TE25,
224,224,"""Devontae Booker"" ",RB68,
225,225,"""Elijah Mitchell"" ",RB69,
226,226,"""Daniel Carlson"" ",K11,
227,227,"""Rondale Moore"" ",WR81,
228,228,"""Jimmy Garoppolo"" ",QB31,
229,229,"""O.J. Howard"" ",TE26,
230,230,"""Jakobi Meyers"" ",WR82,
231,231,"""Sammy Watkins"" ",WR83,
232,232,"""Salvon Ahmed"" ",RB70,
233,233,"""Minnesota Vikings"" ",DST13,
234,234,"""Giovani Bernard"" ",RB71,
235,235,"""Blake Jarwin"" ",TE27,
236,236,"""Emmanuel Sanders"" ",WR84,WR.....
237,237,"""Denver Broncos"" ",DST14,
238,238,"""Jerick McKinnon"" ",RB72,
239,239,"""Seattle Seahawks"" ",DST15,
240,240,"""Matt Gay"" ",K12,
241,241,"""Josh Palmer"" ",WR85,
242,242,"""Darrel Williams"" ",RB73,
243,243,"""Jimmy Graham"" ",TE28,
244,244,"""Randall Cobb"" ",WR86,
245,245,"""Hayden Hurst"" ",TE29,
246,246,"""Pooka Williams Jr."" ",RB74,
247,247,"""Chicago Bears"" ",DST16,
248,248,"""La'Mical Perine"" ",RB75,
249,249,"""Jameis Winston"" ",QB32,
250,250,"""Olamide Zaccheaus"" ",WR87,
251,251,"""Boston Scott"" ",RB76,
252,252,"""Scotty Miller"" ",WR88,
253,253,"""Donovan Peoples-Jones"" ",WR89,
254,254,"""Jeff Wilson Jr."" ",RB77,
255,255,"""Brandon McManus"" ",K13,
256,256,"""Los Angeles Chargers"" ",DST17,
257,257,"""Jason Myers"" ",K14,
258,258,"""Mason Crosby"" ",K15,
259,259,"""Eno Benjamin"" ",RB78,
260,260,"""Arizona Cardinals"" ",DST18,
261,261,"""Robbie Gould"" ",K16,
262,262,"""Kansas City Chiefs"" ",DST19,
263,263,"""Royce Freeman"" ",RB79,
264,264,"""Michael Badgley"" ",K17,
265,265,"""Keke Coutee"" ",WR90,
